Full dissertation paper number,Dissertation Abstract Number,Paper Title
1,99,"Bliss, Lawrence Allen, ""Selecting artificial neural network inputs using particle swarm optimization"" (2003). ETD Collection for Pace University. AAI3106822. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3106822"
2,32,"Boehm, Raymond E, ""An Approach to Early Lifecycle Estimating for Agile Projects"" (2012). ETD Collection for Pace University. AAI3496372. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3496372
3,96,"Diaz, Rigoberto, ""Solving a class of time -dependent combinatorial optimization problems with abstraction, transformation and simulated annealing"" (2004). ETD Collection for Pace University. AAI3127380. Retrieved from: "
,, https://digitalcommons.pace.edu/dissertations/AAI3127380
4,49,"Joshua, Satty Oyekake, ""A three-prong network solution approach: A sustainable business case centered approach in networking convergence"" (2007). ETD Collection for Pace University. AAI3251975.  Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3251975
5,20,"Joshua, Satty Oyekake, ""A three-prong network solution approach: A sustainable business case centered approach in networking convergence"" (2007). ETD Collection for Pace University. AAI3251975. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3251975
6,75,"Chang, Hsiauh-Tsyr Clara, ""Optimized software component allocation on clustered application servers"" (2004). ETD Collection for Pace University. AAI3127378. Retrieved from:  https://digitalcommons.pace.edu/dissertations/AAI3127378"
7,56,"Golikov, Steven, ""Integrated Syntactic/Semantic XML Data Validation with a Reusable Software Component"" (2013). ETD Collection for Pace University. AAI3536869.  Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3536869"
8,71,"Ganis, Matthew Robert, ""A study of the agile whole team and its effectiveness in the software development process"" (2009). ETD Collection for Pace University. AAI3514638. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3514638
9,86,"Morales, Peter J, ""A computational econometric modeling technique for the parametric simulation of effort and duration estimation as applied to the development of software systems"" (2011). ETD Collection for Pace University. AAI3491863. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3491863
10,13,"Smith, Renel, ""Gameplay to introduce and reinforce requirements engineering good practices"" (2009). ETD Collection for Pace University. AAI3367218. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3367218
11,76,"Choi, Seung-Seok (Seung), ""Correlation analysis of binary similarity and dissimilarity measures"" (2008). ETD Collection for Pace University. AAI3336169. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3336169
12,82,"Mannette-Wright, Anne I, ""A feasibility study of ontology-based automatic document transformation"" (2009). ETD Collection for Pace University. AAI3374713. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3374713"
13,5,"Stewart, John Cary, ""An Evaluation of the Application of Stylometry and the Keystroke Biometric to Identity Verification of Online Test-Takers"" (2013). ETD Collection for Pace University. AAI3536279. "
,,Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3536279
14,77,"Purba, Josua Bisuk Mubyarto, ""Dynamic Sub-Channel Allocation in OFDMA Systems"" (2012). ETD Collection for Pace University. AAI3530007. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3530007
15,46,"Gisonti, Vincent, ""The Role of Technology Coping and Habit in Information System Utilization"" (2015). ETD Collection for Pace University. AAI3727330. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3727330
16,48,"Cicoria, Shawn, ""Qualitative Analysis of Application Migration to the Public Cloud and Framework for Application Architecture Migration Risks"" (2017). ETD Collection for Pace University. AAI10281300. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10281300
17,40,"Jean-Baptiste, Hevel, ""A distributed architecture for U-messaging systems"" (2002). ETD Collection for Pace University. AAI3118355. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3118355
18,9,"Thomas, Carlos A, ""Assessing the Factors that Determine Compliance with the Federal Information Security Management Act (FISMA)"" (2012). ETD Collection for Pace University. AAI3504745."
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3504745
19,112,"Boyd, Andrew W, ""A Longitudinal Study of Social Media Privacy Behavior"" (2011). ETD Collection for Pace University. AAI3464297. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3464297
20,67,"Himmel, Maria Azua, ""Qualitative Analysis of Cloud Computing Risks and Framework for the Rationalization and Mitigation of Cloud Risks"" (2012). ETD Collection for Pace University. AAI3520142. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3520142
21,47,"Hernandez, Karina J, ""Reasoning and learning under uncertainty using dynamic probabilistic models for real time problem determination"" (2004). ETD Collection for Pace University. AAI3145958. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3145958
22,61,"Hubert, Rita, ""Usability field study of older adults using multi-modal home health monitoring devices"" (2006). ETD Collection for Pace University. AAI3225086. Retrieved from: "
23,16,"Zack, Robert S, ""An improved k-NN classification method with application to keystroke biometric authentication"" (2010). ETD Collection for Pace University. AAI3420671. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3420671
24,50,"Clapsaddle, Donna J, ""Measuring usability: Categorically modeling successful Websites using established metrics"" (2004). ETD Collection for Pace University. AAI3136152. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3136152
25,70,"Curtin, Mary C, ""Long-text keystroke biometric applications over the Internet"" (2006). ETD Collection for Pace University. AAI3214522. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3214522
26,52,"Johnson, Melanie, ""Multi-project staffing: An agile based framework"" (2008). ETD Collection for Pace University. AAI3337583. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3337583
27,110,"Bassett, Richard A, ""Computer-based objective interactive numismatic system"" (2003). ETD Collection for Pace University. AAI3106821. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3106821
28,90,"Sette, Maria, ""A Semantic Approach to Intelligent and Personal Tutoring System"" (2017). ETD Collection for Pace University. AAI10256334. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10256334
29,98,"Alipui, Gilbert, ""Reducing Complexity of Diagnostic Message Pattern Specification and Recognition with Semantic Techniques"" (2016). ETD Collection for Pace University. AAI10139272. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10139272
30,28,"Lombardi, Thomas Edward, ""The classification of style in fine-art painting"" (2005). ETD Collection for Pace University. AAI3189084. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3189084
31,103,"Alexandrou, Alex, ""A security risk perception model for the adoption of mobile devices in the healthcare industry"" (2016). ETD Collection for Pace University. AAI10097933. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10097933
32,6,"Weaver, Daniel Scott, ""Prospective Students' Reactions to the Presentation of the Computer Science Major"" (2010). ETD Collection for Pace University. AAI3446780. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3446780
33,42,"Elnagdy, Sam Adam, ""Cost Reduction Strategy for Cybersecurity Risk Management and Risk Transfer to Insurance in Financial Industry"" (2017). ETD Collection for Pace University. AAI10261015. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI10261015
34,34,"Li, Jenny S, ""An Investigation of Authorship Authentication in Short Messages from a Social Networking Site"" (2015). ETD Collection for Pace University. AAI3711057. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3711057
35,19,"Kuta, Adam, ""Enterprise Interceptor: A framework for applications interchangeability"" (2006). ETD Collection for Pace University. AAI3225000. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3225000
36,15,"Tsekhansky, Alexander Michael, ""Byzantine-Reliable Domain Name Service protocol in networks with limited public key infrastructure"" (2010). ETD Collection for Pace University. AAI3405900. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3405900
37,60,"DeStefano, R.J, ""Improving Enterprise Data Governance Through Ontology and Linked Data"" (2016). ETD Collection for Pace University. AAI10097925. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10097925
38,1,"Uran, Gokbora, ""A hybrid heuristic model for classification rule discovery"" (2005). ETD Collection for Pace University. AAI3172518. "
39,43,"Frank, Ronald I, ""Regular array expansions in null arrays, with applications: Zero is not nothing"" (2002). ETD Collection for Pace University. AAI3064835. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3064835
40,45,"Feddock, Stephanie Ann, ""An Analysis of the Software Selection Process Using Waterfall versus Agile Methodologies: A Simulation Study"" (2016). ETD Collection for Pace University. AAI10128878. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI10128878
41,44,"Elizes, Romerl, ""Investigating the value of using sequences of natural computing heuristics to address Traveling Salesman Problem"" (2008). ETD Collection for Pace University. AAI3332160. "
,,Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3332160
42,62,"Feliciano, Joe L, ""The success criteria for implementing knowledge management systems in an organization"" (2007). ETD Collection for Pace University. AAI3235023. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3235023"
43,27,"Lapczynski, Patricia H, ""An integrated model of technology acceptance for mobile computing"" (2004). ETD Collection for Pace University. AAI3159089. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3159089"
44,85,"Nikelshpur, Dmitry O, ""Achieving Consistent Near-Optimal Pattern Recognition Accuracy Using Particle Swarm Optimization to Pre-Train Artificial Neural Networks"" (2014). ETD Collection for Pace University. AAI3584999. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3584999
45,81,"Sher DeCusatis, Carolyn J, ""The Effects of Cloud Computing on Vendors' Data Center Network Component Design"" (2011). ETD Collection for Pace University. AAI3463172. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3463172"
46,105,"Casarella, John M, ""The Classification of Un-preprocessed ECG Waveforms through the Application of the Hierarchical Temporal Memory Model"" (2013). ETD Collection for Pace University. AAI3569129. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3569129"
47,17,"Sher DeCusatis, Carolyn J, ""The Effects of Cloud Computing on Vendors' Data Center Network Component Design"" (2011). ETD Collection for Pace University. AAI3463172. "
48,92,"Martinez, Christian, ""A Modular Integrated Syntactic/Semantic XML Data Validation Solution"" (2016). ETD Collection for Pace University. AAI10128879.  Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10128879
49,95,"Nwosisi, Christopher, ""Developing a genetic algorithm to construct efficient binary decision trees"" (2010). ETD Collection for Pace University. AAI3424223. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3424223"
50,87,"Markowitz, Theodore J, ""An Empirical Evaluation of Active Learning and Selective Sampling Variations Supporting Large Corpus Labeling"" (2011). ETD Collection for Pace University. AAI3502057. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3502057"
51,22,"Lindo, Steven Christopher, ""A Comparative Study of Collaborative Filtering Recommendation Systems Using Algorithms to Impute Large Sparse Matrices"" (2016). ETD Collection for Pace University. AAI10182708. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10182708
52,21,"Lawler, James P, ""A study of customer loyalty and privacy on the Web"" (2002). ETD Collection for Pace University. AAI3126207. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3126207
53,55,"Hu, Jingkun, ""Visual modeling of XML constraints based on a new extensible constraint markup language"" (2003). ETD Collection for Pace University. AAI3120402. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3120402"
54,53,"Iervolino, Christopher Ward, ""Using data envelopment analysis to measure Web site efficiency"" (2002). ETD Collection for Pace University. AAI3064836. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3064836
55,38,"Davis, Eddie A, ""The effects of technological and organizational innovations on business value in the context of a new product or service deployment"" (2010). ETD Collection for Pace University. AAI3414233. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3414233
56,51,"Hutchinson, E. Jeffrey, ""Agile Deployment of Packaged Business Application (PBA) Software: An Empirical Study"" (2013). ETD Collection for Pace University. AAI3574657. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3574657
57,73,"Chiang, Borming, ""A feasibility study: Secure public key infrastructure with quantum key distributions in grid computing"" (2007). ETD Collection for Pace University. AAI3243522. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3243522"
58,7,"Westcott, Sandra, ""Effectiveness of using digital game playing in a first-level programming course"" (2008). ETD Collection for Pace University. AAI3338734. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3338734
59,91,"Perez, Gonzalo E, ""Analyzing Impaired-User Input Scenarios for Keystroke Biometric Authentication"" (2015). ETD Collection for Pace University. AAI3733917. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3733917"
60,63,"Coakley, Michael J, ""Keystroke Biometric Studies with Short Numeric Input on Smartphones"" (2016). ETD Collection for Pace University. AAI10117796. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI10117796"
61,10,"Ulmer, David B, ""Architectural solutions to agent -enabling e -commerce portals with pull /push abilities"" (2004). ETD Collection for Pace University. AAI3119929. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3119929"
62,111,"Brola, Jennifer, ""Cyberpsychology in the Workforce: Online Disinhibition, Team Dynamics, and Company Culture"" (2016). ETD Collection for Pace University. AAI10128883. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10128883
63,25,"Khan, Kamal Waris, ""CICS Region Virtualization for Cost Effective Application Development"" (2012). ETD Collection for Pace University. AAI3536258. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3536258"
64,66,"Hayes, Darren R, ""The efficacy of project retrospectives on organizational process improvement initiatives in software development"" (2008). ETD Collection for Pace University. AAI3336168. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3336168
65,4,"Villani, Mary, ""Keystroke biometric identification studies on long -text input"" (2007). ETD Collection for Pace University. AAI3264010. "
,,Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3264010
66,80,"Nassar, Nader, ""Multi-Seed Base Authentication"" (2016). ETD Collection for Pace University. AAI10603857. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10603857
67,2,"Zandoli, Robert, ""An agile framework for an information technology outsourcing decision process (ITODP)"" (2006). ETD Collection for Pace University. AAI3271405. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3271405
68,3,"Trees, Frances P, ""A meta-analysis of pedagogical tools used in introductory programming courses"" (2010). ETD Collection for Pace University. AAI3407417. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3407417
69,104,"Brancik, Kenneth Charles, ""Insider computer fraud detection in applications: A defense in depth framework involving software engineering and novelty neural networks"" (2005). ETD Collection for Pace University. AAI3172517. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3172517
70,30,"Kolb, Todd W, ""Efficient solutions to a class of generalized time-dependent combinatorial optimization problems"" (2005). ETD Collection for Pace University. AAI3172923. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3172923
71,59,"Gravesande, Kevin, ""Using Geographic Information Systems (GIS) to Improve Patient-Clinician Encounters and Patient Care"" (2010). ETD Collection for Pace University. AAI3467181. Retrieved from:  https://digitalcommons.pace.edu/dissertations/AAI3467181"
72,37,"Cole, Eric, ""Stego-marking packets to control information leakage on TCP /IP based networks"" (2004). ETD Collection for Pace University. AAI3127379. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3127379
73,88,"Manfredi, Mary L, ""Copybook style determination of pseudo-online handwriting data"" (2005). ETD Collection for Pace University. AAI3191872. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3191872
74,65,"Edington, Barbara, ""A model of internal contextual factor relationships affecting technology implementations"" (2005). ETD Collection for Pace University. AAI3175838. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3175838
75,94,"Rajan, Sunil, ""Critical Success Factors for Small-Medium Businesses to Adopt Cloud Infrastructure as a Service"" (2014). ETD Collection for Pace University. AAI3690545. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3690545
76,74,"Chu, Jean, ""The Impact of Ad hoc, Informal Communication on Virtual Team Effectiveness: A Study of IM Usage and Team Collaboration"" (2016). ETD Collection for Pace University. AAI10249069. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10249069
77,102,"Anne, Kirk M, ""Agile Business Continuity Planning using Business Process Modeling Notation"" (2013). ETD Collection for Pace University. AAI3570821. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3570821
78,100,"Bakelman, Ned, ""Keystroke Biometrics Studies on Short Password and Numeric Passcode Input, and on Long Spreadsheet, Browser, and Text Application Input"" (2014). ETD Collection for Pace University. AAI3583121. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3583121
79,35,"Leet, Jonathan M, ""Defining an Enhanced Feature Subset to Assess the True Biometric Performance of Speaker Verification Systems"" (2015). ETD Collection for Pace University. AAI3709398. "
,,Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3709398
80,108,"Abrams, Carl Edward, ""Shape matching with ordered boundary point shape contexts using a least cost diagonal method"" (2006). ETD Collection for Pace University. AAI3235077. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3235077"
81,83,"Saleeb, Hany, ""Information retrieval: A framework for recommending text-based classification algorithms"" (2002). ETD Collection for Pace University. AAI3064838. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3064838
82,101,"Buskey, Carlos Delano, ""A software metrics based approach to enterprise software beta testing design"" (2005). ETD Collection for Pace University. AAI3191871. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3191871"
83,106,"Ahmed, Bashir U, ""Detection of foreign words and names in written text"" (2005). ETD Collection for Pace University. AAI3172339. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3172339"
84,68,"Hill, Jonathan H, ""Applying abstraction to master complexity: The comparison of abstraction ability in computer science majors with students in other disciplines"" (2007). ETD Collection for Pace University. AAI3430590. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3430590"
85,31,"Kile, James F, ""An investigation into the effectiveness of agile software development with a highly distributed workforce"" (2007). ETD Collection for Pace University. AAI3271868. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3271868"
86,113,"Asamoah, Claude, ""Knowledge Graph Syntax Validation and Visual Navigation for Developing Intelligent Systems"" (2016). ETD Collection for Pace University. AAI10140659. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10140659
87,54,"Gottlieb, A. L, ""Efficient static analysis of Java source code for security"" (2006). ETD Collection for Pace University. AAI3235024. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3235024
88,107,"Bishop, Gulsebnem, ""Classification of Greek pottery shapes and schools using image retrieval techniques"" (2006). ETD Collection for Pace University. AAI3214098. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3214098"
89,97,"Capellan, Mirkeya, ""An agile course-delivery approach"" (2009). ETD Collection for Pace University. AAI3399588. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3399588
90,57,"Egbert, Michael, ""Driving Public Cloud Adoption through Qualitative and Quantitative Modeling"" (2015). ETD Collection for Pace University. AAI3726166. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3726166
91,64,"Hernandez, Marco A, ""An Interactive Iterative Method for Electronic Searching of Large Literature Databases"" (2013). ETD Collection for Pace University. AAI3569888. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3569888
92,33,"Konstantinou, Stella, ""A Web services framework for automating constituent product costing operations of businesses producing and selling their own products"" (2004). ETD Collection for Pace University. AAI3140276. Retrieved from: "
93,39,"Guerra, Abraham, ""A Framework for Building Intelligent Software Assistants for Virtual Worlds"" (2011). ETD Collection for Pace University. AAI3462987. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3462987"
94,8,"Williams, Aurelia T, ""Pair formation in CS1: Self -selection vs random pairing"" (2007). ETD Collection for Pace University. AAI3281992. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3281992"
95,109,"Kane Aidara, Bintou, ""XML Update Transaction Execution Based on Incremental Constraint Checks"" (2012). ETD Collection for Pace University. AAI3506851. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3506851"
96,29,"Jones, Barry, ""The Composer's Algorithmic Assistant: Based on the Schillinger System of Musical Composition"" (2011). ETD Collection for Pace University. AAI3572550. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3572550
97,24,"Lee, Kwang Woon, ""An efficient procedure to select a near-optimal subset of pattern classification features"" (2003). ETD Collection for Pace University. AAI3096566. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3096566
98,72,"Jayaraman, Saravanan, ""Drug Side Effects Data Representation and Full Spectrum Inferencing using Knowledge Graphs in Intelligent Telehealth"" (2016). ETD Collection for Pace University. AAI10247923. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10247923
99,69,"Clark, Christine Y, ""A Study on Corporate Security Awareness and Compliance Behavior Intent"" (2013). ETD Collection for Pace University. AAI3571099. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3571099"
100,114,"Bravo, Kathleen M, ""A model for HIPAA security compliance"" (2005). ETD Collection for Pace University. AAI3172359. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3172359
101,41,"Crocetti, Giancarlo, ""Think Tank Simulator: A Virtual Conversation between the Information Seeker and Domain Experts"" (2015). ETD Collection for Pace University. AAI3731733. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3731733"
102,79,"Mosley, Pauline Helen, ""The cognitive complexities confronting developers using object technology"" (2002). ETD Collection for Pace University. AAI3064837.  Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3064837
,,
103,58," DeCicco, Joseph, ""Sensitivity analysis of certain time -dependent matroid base models solved by genetic algorithms"" (2002). ETD Collection for Pace University. AAI3064834. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3064834
104,18,"Law, Jonathan K, ""An efficient first pass of a two-stage approach for automatic language identification of telephone speech"" (2002). ETD Collection for Pace University. AAI3118356. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3118356
105,26,"Kasinadhuni, Maheswara Prasad, ""Solving optimization problems using genetic algorithms with multiple genome coding"" (2004). ETD Collection for Pace University. AAI3127381. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3127381"
106,93,"Nunez, Yonesy F, ""Maximizing an Organization's Information Security Posture by Using a Distributed Patch Management Security System"" (2011). ETD Collection for Pace University. AAI3463171. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3463171
,,
107,12,"Wallace, Stephen, ""Extending a Business Performance Improvement Framework with a Semantic Enhanced Hybrid Recommender System Design"" (2016). ETD Collection for Pace University. AAI10146295. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10146295 
,,
108,78,"Navarro-Machuca, Javier, ""Pluggable Model-Based Security Policy Enforcement Mechanism for Software Development"" (2016). ETD Collection for Pace University. AAI10139273. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10139273
,,
109,23,"Kalia, Suman Kumar, ""A pervasive computing solution to asset, problem and knowledge management"" (2002). ETD Collection for Pace University. AAI3096584. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3096584
110,11,"Wendorf, Roli Garg, ""Channel-change games in spectrum -agile wireless networks"" (2005). ETD Collection for Pace University. AAI3198060. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3198060
111,14,"Uzamere, Helen Adesuwa, ""A Case for Agile Techniques in Pedagogy - A Test Driven Agile Approach to Course Delivery"" (2016). ETD Collection for Pace University. AAI10145352. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10145352
112,36,"Lam, T. V. (n.d.). RUN-TIME INTERFACE MAPPING FOR ON-THE-FLY SOFTWARE COMPONENT INTEGRATION. 168. Retrieved from: "
113,89,"Ritzmann, Mark, ""Strategies for managing missing and incomplete information with applications to keystroke biometric data and a business analytical application"" (2010). ETD Collection for Pace University. AAI3388241. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3388241
114,84,"Reddy, Visveshwar (Vishu), ""Estimating intrinsic engineering value of emerging software innovations"" (2010). ETD Collection for Pace University. AAI3401495. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3401495
